Date,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,PIT_ID,health,colour,notes,ID
9/4/2025,CS1,5,372,405,82,165,1740,99846077,5,orange,,143
9/4/2025,CS1,5,364,401,78,165,1730,9984607D,5,gold,,150
14/04/2025,WS3,17-19,368,404,73,164,1610,998461 E4,,gold,,43
14/04/2025,WS3,14-16,355,394,82,164,1800,99846048,,NA,,62
14/04/2025,WS3,20-35,357,399,81,158,1590,99846093,,gold,,54
9/4/2025,CS1,5,338,365,77,155,1400,99846218,5,gold,,149
14/04/2025,WS3,17-19,353,386,84,154,1650,998461CE,,gold,,69
14/04/2025,WS3,13,352,393,72,154,1470,99846100,,gold,,79
9/4/2025,CS1,5,345,380,76,150,1480,,4,orange,Orange with black ,158
14/04/2025,ES3,52-56,359,384,78,149,1490,,,gold,,26
9/4/2025,CS1,5,343,383,76,149,1440,99855164,5,gold,,131
14/04/2025,WS3,20-35,357,383,71,148,1430,998461A2,,orange,orange with black,51
14/04/2025,WS3,13,349,388,72,147,1350,,,gold,,81
14/04/2025,WS3,20-35,352,396,76,146,1750,99846127,,orange,orange with black,53
14/04/2025,ES2,46,355,396,71,145,1350,99846139,,orange,,31
9/4/2025,WS1,34,331,354,78,145,1360,,,orange,,128
9/4/2025,CS1,5,335,375,71,145,1260,9988550DE,5,gold,,129
9/4/2025,CS1,5,355,390,81,145,1580,99846229,5,gold,,136
14/04/2025,ES2,43-44,361,395,74,144,1470,,,gold,,20
14/04/2025,ES2,43-44,351,387,77,143,1360,,,orange,,19
14/04/2025,ES3,52-56,361,398,71,143,1510,,,gold,,27
14/04/2025,WS3,17-19,351,387,73,143,1350,9984614B,,gold,,66
9/4/2025,CB1,16,350,380,74,143,1250,9984619B,,gold,,119
9/4/2025,CB1,17,330,360,75,143,1340,,,orange,Orange with white,121
14/04/2025,ES2,43-44,354,386,81,142,1310,,,gold,,18
9/4/2025,WB1,20,330,368,81,142,1240,,,gold,,123
9/4/2025,CS1,5,334,370,76,142,1350,,5,gold,,153
14/04/2025,ES3,52-56,357,384,99,141,1500,,,gold,,28
14/04/2025,WS3,13,324,363,75,141,1560,,,gold,,88
14/04/2025,WS3,12,354,392,73,141,1420,998551D7,no eye,gold,,115
14/04/2025,WS3,14-16,320,365,64,140,1080,,deformed eye,orange,,63
9/4/2025,CB1,17,341,370,72,140,1250,,,gold,,120
9/4/2025,WS1,24,339,374,75,140,1280,,,gold,,127
9/4/2025,CS1,5,335,370,70,140,1230,99846126,5,gold,,140
9/4/2025,CS1,5,356,380,76,140,1400,998550A6,5,gold,,144
9/4/2025,CS1,13,345,378,77,140,1340,,,gold,,159
14/04/2025,WS3,7 - 011,321,346,74,139,1180,9984604C,,orange,Orange yellow and black,103
14/04/2025,WS3,17-19,351,382,74,138,1150,998461AF,,orange,,46
14/04/2025,WS3,7 - 011,345,386,76,138,1230,,,gold,,99
9/4/2025,CS1,14,315,346,71,138,1090,998461A4,,gold-white,,160
14/04/2025,ES2,43-44,351,387,72,136,1500,,,gold,,14
9/4/2025,CS1,5,335,365,74,136,1220,99846131,5,gold,,145
9/4/2025,CS1,5,330,360,71,136,1210,9984606D,5,gold,,146
14/04/2025,WS3,13,317,353,73,135,1150,,,gold,,94
14/04/2025,WS3,12,347,382,76,135,1330,,,NA,,106
14/04/2025,WS3,12,343,382,70,135,1100,,,gold,,113
14/04/2025,WS3,12,346,385,73,135,1300,,,NA,,118
9/4/2025,CS1,5,340,375,70,135,1200,998551F3,5,orange,Orange with black,134
9/4/2025,CS1,5,340,390,75,135,1240,99846178,5,gold,,135
9/4/2025,CS1,5,348,381,71,135,1360,,5,gold,,151
14/04/2025,WS3,17-19,317,350,69,134,1250,,,gold,,72
9/4/2025,CS1,5,334,364,79,134,1320,,5,orange,Orange with black,154
14/04/2025,ES3,50-51,355,384,74,133,1360,,,gold,,5
14/04/2025,WS3,14-16,324,358,66,132,1240,,,gold,,59
9/4/2025,CS1,5,332,370,70,132,1120,,5,gold,,156
14/04/2025,WS3,17-19,322,347,63,131,1070,,,gold,,74
14/04/2025,WS3,13,343,382,74,131,990,,,gold,,82
14/04/2025,WS3,7 - 011,336,374,68,131,1080,,,gold,,97
9/4/2025,WS1,21,340,381,73,131,1120,,,gold,,125
14/04/2025,WS3,14-16,317,347,66,130,1040,,,gold,,60
14/04/2025,WS3,12,338,372,65,130,1100,,,gold,,110
9/4/2025,CS1,5,345,380,77,130,1250,998460A6,5,gold,,139
14/04/2025,WS3,12,328,355,68,129,1080,,,orange,,108
14/04/2025,WS3,17-19,324,357,69,128,1250,,,gold,,65
14/04/2025,WS3,17-19,301,333,64,128,1100,,,gold,,73
14/04/2025,WS3,13,314,345,69,128,930,,,gold,,90
14/04/2025,WS3,12,345,374,75,128,1250,,,gold,,111
9/4/2025,WS1,22,334,360,72,128,970,,,orange,,126
14/04/2025,ES2,46,288,322,58,127,770,,,gold,,32
14/04/2025,WS3,14-16,304,348,63,127,940,,gill dmg,gold,,56
14/04/2025,WS3,17-19,311,345,64,127,920,,,gold,,70
14/04/2025,WS3,17-19,308,337,60,127,920,,,gold,,71
14/04/2025,ES2,43-44,356,401,73,126,1370,,,gold,,22
14/04/2025,WS3,12,322,351,69,126,1080,998460C4,,gold,,114
9/4/2025,CS1,5,336,365,71,126,980,99846109,5,gold,,147
14/04/2025,WS3,13,321,354,64,125,880,,deformed mouth,orange,orange with white,86
9/4/2025,CS1,5,335,365,73,125,1340,998550 E6,5,gold,,138
9/4/2025,CS1,5,318,351,63,125,900,99846211,5,gold,,148
9/4/2025,CS1,5,310,338,57,125,980,9984615A,5,gold,,155
22/04/2025,CS,78,297,321,68,125,770,,,gold,,165
