"Species","n","min_width_mm","max_width_mm","n_below_5cm","n_above_5cm","pct_below","pct_above","gap_below_5cm","gap_above_5cm","low_n_flag","sd_width_mm"
"BB",70,19,80,44,26,0.628571428571429,0.371428571428571,FALSE,FALSE,FALSE,14.3216525180882
"BF",2,450,650,0,2,0,1,TRUE,TRUE,TRUE,141.42135623731
"BW",9,25,85,3,6,0.333333333333333,0.666666666666667,TRUE,FALSE,TRUE,20.6747296099476
"CC",5,15,126,2,3,0.4,0.6,TRUE,TRUE,TRUE,45.3398279661491
"CHS",2,90,120,0,2,0,1,TRUE,TRUE,TRUE,21.2132034355964
"FWD",3,83,99,0,3,0,1,TRUE,TRUE,TRUE,8.18535277187245
"GF",38,10,95,23,15,0.605263157894737,0.394736842105263,FALSE,FALSE,FALSE,22.1965229935101
"GZ",17,10,64,12,5,0.705882352941177,0.294117647058824,FALSE,FALSE,FALSE,18.9278817061591
"LMB",58,8,90,35,23,0.603448275862069,0.396551724137931,FALSE,FALSE,FALSE,26.9957761478451
"LP",2,7,10,2,0,1,0,TRUE,TRUE,TRUE,2.12132034355964
"NP",2,63,90,0,2,0,1,TRUE,TRUE,TRUE,19.0918830920368
"PS",1,4,4,1,0,1,0,TRUE,TRUE,TRUE,NA
"RB",17,14,40,17,0,1,0,FALSE,TRUE,FALSE,7.19374728496908
"RG",7,6,22,7,0,1,0,FALSE,TRUE,TRUE,5.71547606649408
"RT",2,22,75,1,1,0.5,0.5,TRUE,TRUE,TRUE,37.476659402887
"Rudd",31,15,56,26,5,0.838709677419355,0.161290322580645,FALSE,FALSE,FALSE,11.5922666101712
"WE",10,39,100,1,9,0.1,0.9,TRUE,FALSE,FALSE,16.8997041394221
"WP",34,19,34,34,0,1,0,FALSE,TRUE,FALSE,4.53123444124196
"WS",9,30,73,4,5,0.444444444444444,0.555555555555556,TRUE,FALSE,TRUE,16.8159976741726
"YP",44,7,30,44,0,1,0,FALSE,TRUE,FALSE,6.57144826858761
